Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
1993,Aleatorio,100,66,0.66,3,07 - 17 - 43 - 48 - 49 - 50,06 - 17 - 33 - 48 - 50 - 57,15,15.0,2,2.0,0,0.0,0,0.0,0,0.0
1993,Motor Elite 7,100,78,0.78,3,06 - 13 - 33 - 35 - 40 - 48,06 - 17 - 33 - 48 - 50 - 57,20,20.0,1,1.0,0,0.0,0,0.0,0,0.0
1993,Motor Elite 8,100,61,0.61,3,02 - 06 - 21 - 33 - 50 - 53,06 - 17 - 33 - 48 - 50 - 57,10,10.0,3,3.0,0,0.0,0,0.0,0,0.0
1994,Aleatorio,100,56,0.56,3,02 - 35 - 39 - 40 - 44 - 50,02 - 05 - 12 - 32 - 40 - 44,8,8.0,2,2.0,0,0.0,0,0.0,0,0.0
1994,Motor Elite 7,100,74,0.74,3,05 - 12 - 25 - 44 - 53 - 55,02 - 05 - 12 - 32 - 40 - 44,16,16.0,3,3.0,0,0.0,0,0.0,0,0.0
1994,Motor Elite 8,100,59,0.59,2,12 - 15 - 22 - 35 - 44 - 59,02 - 05 - 12 - 32 - 40 - 44,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1995,Aleatorio,100,59,0.59,2,04 - 12 - 13 - 35 - 37 - 43,14 - 26 - 29 - 35 - 37 - 39,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1995,Motor Elite 7,100,64,0.64,2,05 - 24 - 30 - 37 - 39 - 44,14 - 26 - 29 - 35 - 37 - 39,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1995,Motor Elite 8,100,63,0.63,3,05 - 14 - 26 - 38 - 39 - 59,14 - 26 - 29 - 35 - 37 - 39,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
1996,Aleatorio,100,54,0.54,2,14 - 20 - 26 - 37 - 56 - 60,07 - 20 - 21 - 24 - 40 - 56,10,10.0,0,0.0,0,0.0,0,0.0,0,0.0
1996,Motor Elite 7,100,56,0.56,2,01 - 17 - 24 - 37 - 40 - 48,07 - 20 - 21 - 24 - 40 - 56,15,15.0,0,0.0,0,0.0,0,0.0,0,0.0
1996,Motor Elite 8,100,58,0.58,3,05 - 20 - 31 - 40 - 47 - 56,07 - 20 - 21 - 24 - 40 - 56,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1997,Aleatorio,100,49,0.49,2,08 - 14 - 35 - 37 - 47 - 59,01 - 07 - 14 - 31 - 35 - 46,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
1997,Motor Elite 7,100,32,0.32,2,04 - 21 - 35 - 36 - 44 - 46,01 - 07 - 14 - 31 - 35 - 46,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
1997,Motor Elite 8,100,65,0.65,3,01 - 14 - 19 - 36 - 46 - 53,01 - 07 - 14 - 31 - 35 - 46,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
1998,Aleatorio,100,52,0.52,3,05 - 08 - 21 - 42 - 50 - 52,08 - 21 - 24 - 25 - 52 - 57,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
1998,Motor Elite 7,100,66,0.66,3,08 - 24 - 34 - 39 - 45 - 57,08 - 21 - 24 - 25 - 52 - 57,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
1998,Motor Elite 8,100,60,0.6,2,08 - 16 - 26 - 27 - 45 - 57,08 - 21 - 24 - 25 - 52 - 57,13,13.0,0,0.0,0,0.0,0,0.0,0,0.0
1999,Aleatorio,100,72,0.72,3,02 - 10 - 15 - 19 - 37 - 49,15 - 37 - 38 - 42 - 49 - 50,17,17.0,2,2.0,0,0.0,0,0.0,0,0.0
1999,Motor Elite 7,100,50,0.5,3,06 - 15 - 21 - 33 - 38 - 42,15 - 37 - 38 - 42 - 49 - 50,5,5.0,2,2.0,0,0.0,0,0.0,0,0.0
1999,Motor Elite 8,100,64,0.64,4,07 - 15 - 26 - 38 - 42 - 49,15 - 37 - 38 - 42 - 49 - 50,12,12.0,0,0.0,1,1.0,0,0.0,0,0.0
2000,Aleatorio,100,65,0.65,3,06 - 10 - 27 - 28 - 32 - 34,03 - 06 - 10 - 17 - 34 - 37,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2000,Motor Elite 7,100,87,0.87,3,03 - 12 - 34 - 37 - 38 - 59,03 - 06 - 10 - 17 - 34 - 37,19,19.0,5,5.0,0,0.0,0,0.0,0,0.0
2000,Motor Elite 8,100,58,0.58,2,10 - 17 - 25 - 36 - 39 - 46,03 - 06 - 10 - 17 - 34 - 37,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
