Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2859,Motor Elite 7,100,46,0.46,2,15 - 18 - 20 - 25 - 33 - 57,07 - 08 - 15 - 17 - 20 - 51,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
2859,Aleatorio,100,62,0.62,3,05 - 07 - 08 - 18 - 20 - 36,07 - 08 - 15 - 17 - 20 - 51,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2860,Motor Elite 7,100,67,0.67,3,05 - 24 - 26 - 40 - 56 - 57,02 - 05 - 17 - 24 - 38 - 57,10,10.0,1,1.0,0,0.0,0,0.0,0,0.0
2860,Aleatorio,100,59,0.59,2,02 - 04 - 06 - 17 - 51 - 59,02 - 05 - 17 - 24 - 38 - 57,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2861,Motor Elite 7,100,68,0.68,3,08 - 27 - 46 - 48 - 50 - 51,02 - 21 - 27 - 46 - 51 - 53,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
2861,Aleatorio,100,53,0.53,3,14 - 21 - 26 - 27 - 51 - 55,02 - 21 - 27 - 46 - 51 - 53,9,9.0,2,2.0,0,0.0,0,0.0,0,0.0
2862,Motor Elite 7,100,46,0.46,2,07 - 16 - 21 - 22 - 44 - 52,02 - 04 - 14 - 18 - 22 - 44,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
2862,Aleatorio,100,46,0.46,2,02 - 12 - 39 - 42 - 44 - 45,02 - 04 - 14 - 18 - 22 - 44,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0
2863,Motor Elite 7,100,60,0.6,4,05 - 11 - 32 - 34 - 39 - 56,05 - 23 - 32 - 34 - 47 - 56,8,8.0,2,2.0,1,1.0,0,0.0,0,0.0
2863,Aleatorio,100,66,0.66,3,02 - 09 - 11 - 23 - 32 - 34,05 - 23 - 32 - 34 - 47 - 56,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2864,Motor Elite 7,100,61,0.61,2,05 - 11 - 16 - 31 - 50 - 57,05 - 06 - 15 - 17 - 31 - 53,8,8.0,0,0.0,0,0.0,0,0.0,0,0.0
2864,Aleatorio,100,72,0.72,3,02 - 05 - 08 - 17 - 31 - 33,05 - 06 - 15 - 17 - 31 - 53,12,12.0,1,1.0,0,0.0,0,0.0,0,0.0
2865,Motor Elite 7,100,57,0.57,3,05 - 16 - 25 - 30 - 51 - 56,02 - 25 - 30 - 39 - 47 - 51,7,7.0,3,3.0,0,0.0,0,0.0,0,0.0
2865,Aleatorio,100,59,0.59,2,01 - 25 - 30 - 44 - 45 - 57,02 - 25 - 30 - 39 - 47 - 51,7,7.0,0,0.0,0,0.0,0,0.0,0,0.0
